Shoulder_q1,Elbow_q2
58.907902896044334,-123.38006241129658
58.844807518385124,-124.4532746938663
58.84480771645821,-124.45327371732246
58.260247009235236,-125.5177587744285
58.26024846234375,-125.51775523649391
59.414615429222394,-125.32656327157966
60.553974787523394,-125.10779326370626
61.67729226739321,-124.86166439585297
61.67729237434397,-124.86166386237365
61.820985972144655,-124.22718539768724
61.9547690980725,-123.5894171599884
61.95476915107601,-123.58941695606573
61.853131023134345,-122.46610076337285
61.853131179850706,-122.46610010833055
61.74037930862171,-121.33537022635485
61.74037946324461,-121.33536959410928
61.28767128178634,-120.35354373711694
61.28767127857891,-120.35354372001731
61.08280764908622,-119.90941098787121
60.87744237576497,-119.46429365210643
60.671570279036416,-119.01817802080411
60.4651860576029,-118.57105019255816
60.258284286990914,-118.12289605161112
60.05085941785185,-117.67370126216726
60.05085941762509,-117.67370126135988
59.354285712966565,-117.48958495093865
58.65805930111868,-117.29622942280295
57.96229816851651,-117.09368088692051
57.26711505307991,-116.88198676665726
57.26711486862408,-116.88198668584764
56.57401924938234,-116.66091031232826
55.881718832561745,-116.4308276707962
55.19031009154097,-116.19178917180038
54.49988416071991,-115.9438459113225
54.49988397209022,-115.94384582387774
53.74357296812338,-116.0560853787634
52.980564055619354,-116.1539928092627
52.211163474517186,-116.2375325174648
51.43568040765279,-116.30667374110139
50.654426304943335,-116.36139083708417
49.86771415780067,-116.4016633940293
